Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,144.100006,144.179993,141.960007,142.820007,138.162201,1164387
2018-07-12,143.320007,144.220001,141.919998,142.899994,138.239578,820794
2018-07-13,143.639999,144.559998,142.679993,144.000000,139.303711,825206
2018-07-16,143.619995,144.960007,142.240005,142.720001,138.065460,853678
2018-07-17,142.899994,144.600006,141.539993,144.080002,139.381104,938030
2018-07-18,146.199997,147.960007,145.419998,147.320007,142.515442,1260856
2018-07-19,147.500000,149.839996,146.199997,148.000000,143.173264,1122785
2018-07-20,147.759995,147.759995,142.039993,144.660004,139.942200,1611510
2018-07-23,143.899994,146.179993,142.860001,145.899994,141.141739,855103
2018-07-24,147.300003,151.600006,147.039993,150.000000,145.108032,1750333
2018-07-25,150.199997,150.220001,145.259995,145.919998,141.161102,1666434
2018-07-26,152.000000,152.839996,149.660004,151.699997,146.752594,2197625
2018-07-27,152.279999,153.759995,150.520004,151.119995,146.191498,1116046
2018-07-30,150.800003,152.660004,150.160004,151.460007,146.520432,809150
2018-07-31,151.699997,153.360001,150.699997,152.220001,147.255630,1270584
2018-08-01,155.000000,155.179993,145.360001,146.600006,141.818924,2761582
2018-08-02,145.880005,145.880005,140.380005,143.399994,138.723282,2353602
2018-08-03,144.059998,145.619995,142.740005,145.339996,140.600006,1176873
2018-08-06,146.100006,147.080002,144.800003,145.479996,140.735443,757639
2018-08-07,146.460007,149.100006,146.220001,146.880005,142.089798,955205
2018-08-08,146.320007,148.720001,145.639999,147.820007,142.999146,908549
2018-08-09,147.520004,148.800003,146.619995,147.839996,143.018478,779279
2018-08-10,147.059998,147.339996,143.240005,144.380005,139.671326,1278027
2018-08-13,143.380005,144.960007,143.300003,143.979996,139.284363,589321
2018-08-14,144.940002,145.320007,142.339996,142.899994,138.239578,793502
2018-08-15,142.679993,143.779999,137.460007,138.440002,133.925049,1962637
2018-08-16,139.919998,140.740005,138.899994,139.440002,134.892426,995530
2018-08-17,139.440002,139.720001,136.539993,138.740005,134.215271,1226563
2018-08-20,139.500000,140.619995,138.339996,139.000000,134.466782,661764
2018-08-21,138.720001,141.160004,137.899994,140.720001,136.130692,1150636
2018-08-22,139.899994,142.300003,136.660004,138.820007,134.292664,1585333
2018-08-23,139.020004,139.100006,137.520004,137.940002,133.441345,834134
2018-08-24,138.000000,138.520004,136.860001,138.000000,133.499390,817975
2018-08-27,139.500000,142.139999,138.779999,141.460007,136.846558,1019609
2018-08-28,143.080002,145.059998,142.679993,143.380005,138.703934,1184815
2018-08-29,143.839996,144.380005,141.639999,143.160004,138.491119,705283
2018-08-30,142.399994,145.360001,140.660004,142.860001,138.200897,1186925
2018-08-31,141.580002,141.619995,139.820007,140.839996,136.246765,1154110
2018-09-03,139.119995,139.220001,136.419998,137.940002,133.441345,1242999
2018-09-04,138.539993,138.919998,134.899994,136.199997,131.758087,1158865
2018-09-05,135.699997,137.199997,135.160004,136.139999,131.700058,1234483
2018-09-06,135.520004,138.039993,135.419998,136.240005,131.796799,1033049
2018-09-07,136.059998,136.539993,134.199997,136.080002,131.642014,928359
