Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,82.050003,82.059998,80.760002,80.989998,77.433418,2294608
2018-07-12,81.370003,81.879997,81.080002,81.449997,77.873215,1490443
2018-07-13,81.949997,82.529999,81.779999,81.900002,78.303459,1524710
2018-07-16,81.989998,82.389999,81.589996,81.589996,78.007065,1131474
2018-07-17,81.400002,83.459999,81.190002,83.080002,79.431641,2519959
2018-07-18,83.410004,84.449997,83.309998,84.320000,80.617188,2011053
2018-07-19,84.379997,84.459999,83.459999,83.900002,80.215630,1666756
2018-07-20,83.610001,83.900002,81.949997,82.790001,79.154373,3074755
2018-07-23,82.349998,82.660004,81.989998,82.440002,78.819748,1152647
2018-07-24,82.750000,84.500000,82.730003,84.209999,80.512016,2246075
2018-07-25,83.930000,84.120003,82.629997,83.099998,79.450760,2516936
2018-07-26,83.570000,84.910004,83.540001,84.620003,80.904015,2792154
2018-07-27,81.889999,82.779999,81.500000,82.339996,78.724129,4810309
2018-07-30,82.029999,82.650002,81.940002,82.059998,78.456429,1806099
2018-07-31,81.879997,82.470001,81.440002,82.160004,78.552040,2840356
2018-08-01,82.000000,82.989998,81.930000,82.540001,78.915352,2321335
2018-08-02,82.110001,82.330002,80.099998,80.250000,76.725914,3848067
2018-08-03,80.529999,80.629997,79.919998,80.029999,76.515572,2092014
2018-08-06,80.449997,81.599998,80.110001,80.489998,76.955376,1918199
2018-08-07,81.000000,81.169998,80.400002,80.400002,76.869331,2237531
2018-08-08,80.410004,80.980003,80.169998,80.349998,76.821518,1984904
2018-08-09,80.269997,80.820000,80.029999,80.559998,77.022301,1525854
2018-08-10,80.010002,80.089996,78.500000,78.730003,75.272667,3533583
2018-08-13,78.610001,79.540001,78.510002,78.839996,75.377831,2231758
2018-08-14,79.389999,79.889999,78.540001,78.930000,75.463882,1947878
2018-08-15,79.230003,79.839996,77.050003,77.500000,74.096680,3234573
2018-08-16,78.050003,78.050003,76.250000,77.459999,74.058434,2834898
2018-08-17,77.620003,77.779999,76.959999,77.570000,74.163605,2305713
2018-08-20,78.500000,79.760002,78.459999,78.860001,75.396957,2520845
2018-08-21,78.849998,79.599998,78.599998,79.089996,75.616852,2322995
2018-08-22,78.910004,79.709999,78.769997,79.489998,75.999290,1820079
2018-08-23,79.190002,79.690002,79.110001,79.320000,75.836754,1462595
2018-08-24,79.349998,79.970001,79.199997,79.800003,76.295677,1836974
2018-08-27,80.370003,81.139999,79.820000,80.730003,77.184837,1714988
2018-08-28,80.970001,81.160004,80.550003,80.550003,77.012741,1684454
