Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,116.160004,116.519997,115.339996,115.620003,111.216751,2082254
2018-07-12,116.000000,116.440002,115.400002,116.440002,112.005524,1315239
2018-07-13,116.459999,117.379997,116.360001,116.639999,112.197906,1429463
2018-07-16,116.339996,117.739998,116.279999,116.660004,112.217148,1074411
2018-07-17,116.339996,117.620003,115.699997,117.160004,112.698105,1592665
2018-07-18,117.440002,118.360001,117.139999,118.360001,113.852402,1446238
2018-07-19,118.500000,119.440002,117.699997,117.980003,113.486877,1785508
2018-07-20,118.000000,118.260002,115.540001,116.800003,112.351814,2815112
2018-07-23,116.279999,117.040001,116.099998,116.900002,112.448006,1075670
2018-07-24,117.300003,119.019997,116.860001,118.260002,113.756210,1770032
2018-07-25,118.160004,118.760002,117.400002,117.620003,113.140587,1608124
2018-07-26,118.599998,120.559998,118.480003,120.379997,115.795471,2614149
2018-07-27,120.980003,121.459999,120.440002,120.779999,116.180237,1884438
2018-07-30,120.519997,120.779999,119.879997,120.300003,115.718521,1104201
2018-07-31,120.480003,121.440002,119.839996,120.760002,116.161003,1815088
2018-08-01,121.059998,121.699997,119.660004,119.820000,115.256798,2218668
2018-08-02,116.239998,116.379997,113.300003,114.199997,109.850830,4560440
2018-08-03,114.199997,114.500000,111.680000,112.139999,107.869286,3244488
2018-08-06,111.820000,112.680000,110.779999,111.699997,107.446037,2595472
2018-08-07,111.720001,112.839996,111.639999,112.360001,108.080902,2130302
2018-08-08,112.099998,112.940002,111.820000,112.000000,107.734619,1633604
2018-08-09,111.720001,112.699997,111.400002,112.360001,108.080902,1558197
2018-08-10,111.660004,111.879997,110.320000,110.540001,106.330215,2852352
2018-08-13,110.660004,111.260002,110.279999,110.339996,106.137833,1667616
2018-08-14,110.660004,111.220001,109.839996,110.699997,106.484123,1880889
2018-08-15,111.099998,111.739998,109.160004,109.760002,105.579926,2763561
2018-08-16,110.080002,110.639999,109.680000,110.080002,105.887741,1683657
2018-08-17,110.279999,110.480003,109.300003,110.000000,105.810783,1639559
2018-08-20,110.099998,111.440002,110.000000,110.800003,106.580322,1309517
2018-08-21,110.300003,111.320000,110.120003,110.660004,106.445648,1594302
2018-08-22,110.279999,111.779999,110.279999,111.000000,106.772697,1428551
2018-08-23,110.680000,112.559998,110.680000,111.839996,107.580704,1629235
2018-08-24,112.139999,112.540001,111.559998,112.260002,107.984718,1298528
2018-08-27,112.639999,113.540001,112.019997,113.180000,108.869675,1152115
2018-08-28,113.680000,114.120003,113.320000,113.320000,109.004341,1432750
2018-08-29,113.620003,113.940002,113.180000,113.739998,109.408348,1141825
2018-08-30,113.559998,113.580002,112.180000,113.220001,108.908157,1289895
2018-08-31,112.820000,113.019997,111.620003,111.980003,107.715378,2000198
2018-09-03,111.760002,112.120003,110.800003,111.400002,107.157471,1032499
2018-09-04,111.699997,111.839996,109.620003,110.019997,105.830017,1605378
2018-09-05,109.839996,110.099998,108.559998,108.620003,104.483337,2537441
2018-09-06,108.419998,109.419998,108.180000,108.540001,104.406387,2165804
2018-09-07,108.160004,109.040001,108.019997,108.199997,104.079330,2295578
2018-09-10,108.220001,108.820000,108.120003,108.419998,104.290955,2060318
2018-09-11,108.540001,109.019997,107.599998,108.680000,104.541054,2197182
2018-09-12,108.699997,110.000000,108.699997,109.500000,105.329826,1688516
2018-09-13,109.360001,110.080002,109.279999,109.300003,105.137444,1654247
2018-09-14,109.580002,110.000000,108.660004,109.320000,105.156677,1850121
2018-09-17,109.000000,109.559998,108.739998,109.000000,104.848869,1554012
2018-09-18,108.760002,109.879997,108.480003,109.080002,104.925819,1844553
2018-09-19,109.279999,109.720001,108.820000,109.220001,105.060486,1463540
2018-09-20,108.919998,110.440002,108.919998,110.080002,105.887741,2330270
2018-09-21,110.480003,110.779999,109.639999,110.239998,106.041641,6059229
2018-09-24,110.300003,111.500000,110.239998,111.040001,106.811180,2264273
2018-09-25,111.099998,112.120003,110.919998,111.580002,107.330612,1644651
2018-09-26,112.000000,112.059998,111.099998,111.500000,107.253654,1528882
2018-09-27,111.000000,111.800003,110.300003,111.500000,107.253654,1676211
2018-09-28,111.120003,111.480003,109.919998,110.339996,106.137833,2800928
2018-10-01,110.040001,111.019997,109.940002,110.339996,106.137833,2003036
2018-10-02,107.699997,108.160004,106.519997,107.419998,103.329041,3898813
2018-10-04,106.800003,107.580002,105.879997,106.980003,102.905800,3372895
2018-10-05,106.760002,107.040001,105.160004,105.400002,101.385971,2528399
2018-10-08,105.000000,105.239998,104.559998,104.779999,100.789581,2192870
2018-10-09,104.720001,105.160004,103.239998,104.519997,100.539482,2534461
2018-10-10,104.220001,104.540001,102.260002,102.500000,98.596413,3138815
2018-10-11,101.300003,101.779999,100.180000,100.500000,96.672577,3913852
2018-10-12,101.800003,102.419998,99.730003,99.760002,95.960762,2861354
2018-10-15,99.720001,100.519997,99.050003,100.500000,96.672577,1953505
2018-10-16,100.720001,102.059998,100.419998,101.779999,97.903831,2248873
2018-10-17,101.879997,102.720001,101.279999,102.260002,98.365555,2187466
2018-10-18,102.540001,103.419998,101.300003,101.360001,97.499825,2144054
2018-10-19,101.680000,101.720001,99.879997,100.099998,96.287811,3417836
2018-10-22,101.599998,101.820000,100.099998,100.239998,96.422478,2094616
2018-10-23,99.400002,100.080002,98.510002,99.440002,95.652946,3230238
2018-10-24,99.620003,101.779999,99.339996,99.980003,96.172386,2823839
2018-10-25,99.180000,101.639999,98.610001,101.260002,97.403641,2791484
2018-10-26,100.559998,100.940002,98.629997,100.080002,96.268578,3308202
2018-10-29,100.800003,102.839996,100.099998,101.580002,97.711449,2481089
2018-10-30,102.480003,102.480003,99.809998,100.139999,96.326286,2831960
2018-10-31,101.339996,102.419998,101.199997,101.720001,97.846115,3499109
2018-11-01,101.459999,102.959999,101.080002,101.660004,97.788406,2304624
2018-11-02,102.760002,104.019997,102.360001,102.680000,98.769554,2826283
2018-11-05,102.620003,103.440002,102.220001,102.699997,98.788788,1558891
